Product,Version,Type,Grouping,Subfolder,URL part,,New Grouping,New Subfolder,Noun,Apply Pattern,Renamed Command
IRT,v1,Query,data-transfer,GenericScreenFailedNotification,SiteCountryName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,GenericScreenFailedNotification,SiteName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,GenericScreeningNotification,CountryName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,GenericScreeningNotification,DepotCountryName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,GenericScreeningNotification,DepotName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,GenericScreeningNotification,PILastName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,GenericScreeningNotification,SiteCountryName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,GenericScreeningNotification,SiteName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,GenericSubjectNotification,CountryName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,GenericSubjectNotification,DepotCountryName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,GenericSubjectNotification,DepotName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,GenericSubjectNotification,PILastName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,GenericSubjectNotification,SiteCountryName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,GenericSubjectNotification,SiteName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,ReceivedNotification,CountryName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,ReceivedNotification,DepotCountryName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,ReceivedNotification,DepotName,,data-transfer-generic,,,,
