Product,Version,Type,Grouping,Subfolder,URL part,,New Grouping,New Subfolder,Noun,Apply Pattern,Renamed Command,,New URL,Old URL
IRT,v1,Event,data-transfer,,ClientNotificationUpdated,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/events/client-notification-updated,GET /api/IRT/v1/data-transferEvents/ClientNotificationUpdated
IRT,v1,Event,data-transfer,,ClientRaveErrorListNotificationCreated,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/events/client-rave-error-list-notification-created,GET /api/IRT/v1/data-transferEvents/ClientRaveErrorListNotificationCreated
IRT,v1,Event,data-transfer,,ClientRaveErrorNotificationCreated,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/events/client-rave-error-notification-created,GET /api/IRT/v1/data-transferEvents/ClientRaveErrorNotificationCreated
IRT,v1,Event,data-transfer,,GenericIntegrationDataEvent,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/events/generic-integration-data-event,GET /api/IRT/v1/data-transferEvents/GenericIntegrationDataEvent
IRT,v1,Event,data-transfer,,GenericNotificationDefinitionUpdated,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/events/generic-notification-definition-updated,GET /api/IRT/v1/data-transferEvents/GenericNotificationDefinitionUpdated
IRT,v1,Event,data-transfer,,NotificationMarkedAsSent,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/events/notification-marked-as-sent,GET /api/IRT/v1/data-transferEvents/NotificationMarkedAsSent
IRT,v1,Event,DTGeneric,,DynamicSettingCreated,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/events/dynamic-setting-created,GET /api/IRT/v1/DTGenericEvents/DynamicSettingCreated
IRT,v1,Event,DTGeneric,,DynamicSettingDllCreated,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/events/dynamic-setting-dll-created,GET /api/IRT/v1/DTGenericEvents/DynamicSettingDllCreated
IRT,v1,Event,DTGeneric,,GenericNotificationDefinitionCreated,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/events/generic-notification-definition-created,GET /api/IRT/v1/DTGenericEvents/GenericNotificationDefinitionCreated
IRT,v1,Event,DTGeneric,,GenericNotificationDefinitionDeleted,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/events/generic-notification-definition-deleted,GET /api/IRT/v1/DTGenericEvents/GenericNotificationDefinitionDeleted
IRT,v1,ExtendedProperties,data-transfer,,GenericDataTransferStudySettings,,data-transfer-generic,,,,,,,
IRT,v1,ExtendedProperties,data-transfer,,GenericNotificationDefinitionSettings,,data-transfer-generic,,,,,,,
IRT,v1,ExtendedProperties,data-transfer,,GenericVisitSettings,,data-transfer-generic,,,,,,,
IRT,v1,ExtendedProperties,data-transfer,,NotificationGenerationSettings,,data-transfer-generic,,,,,,,
IRT,v1,Query,data-transfer,ClientRaveErrorListNotification,CountryName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/client-rave-error-list-notification/queries/country-name,GET /api/IRT/v1/data-transfer/ClientRaveErrorListNotification/Queries/CountryName
IRT,v1,Query,data-transfer,ClientRaveErrorListNotification,DepotCountryName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/client-rave-error-list-notification/queries/depot-country-name,GET /api/IRT/v1/data-transfer/ClientRaveErrorListNotification/Queries/DepotCountryName
IRT,v1,Query,data-transfer,ClientRaveErrorListNotification,DepotName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/client-rave-error-list-notification/queries/depot-name,GET /api/IRT/v1/data-transfer/ClientRaveErrorListNotification/Queries/DepotName
IRT,v1,Query,data-transfer,ClientRaveErrorNotification,CountryName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/client-rave-error-notification/queries/country-name,GET /api/IRT/v1/data-transfer/ClientRaveErrorNotification/Queries/CountryName
IRT,v1,Query,data-transfer,ClientRaveErrorNotification,DepotCountryName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/client-rave-error-notification/queries/depot-country-name,GET /api/IRT/v1/data-transfer/ClientRaveErrorNotification/Queries/DepotCountryName
